s,t,delta
506,2,2
504,1,-2
504,2,0
504,1,0
505,2,1
504,1,-1
503,2,-1
505,1,2
503,2,-2
503,1,0
504,2,1
503,1,-1
503,2,0
503,1,0
503,2,0
502,1,-1
502,2,0
503,1,1
503,2,0
502,1,-1
502,2,0
502,1,0
502,2,0
502,1,0
502,2,0
503,1,1
502,2,-1
502,1,0
501,2,-1
501,1,0
501,2,0
501,1,0
502,2,1
501,1,-1
501,2,0
501,1,0
501,2,0
501,1,0
501,2,0
501,1,0
501,2,0
501,1,0
500,2,-1
500,1,0
500,2,0
500,1,0
501,2,1
499,1,-2
500,2,1
500,1,0
500,2,0
500,1,0
499,2,-1
499,1,0
500,2,1
500,1,0
499,2,-1
498,1,-1
500,2,2
500,1,0
500,2,0
500,1,0
498,2,-2
498,1,0
499,2,1
497,1,-2
498,2,1
498,1,0
498,2,0
497,1,-1
498,2,1
498,1,0
498,2,0
497,1,-1
497,2,0
496,1,-1
497,2,1
497,1,0
496,2,-1
496,1,0
496,2,0
496,1,0
496,2,0
496,1,0
495,2,-1
495,1,0
496,2,1
496,1,0
496,2,0
496,1,0
495,2,-1
495,1,0
495,2,0
495,1,0
495,2,0
495,1,0
495,2,0
495,1,0
495,2,0
495,1,0
495,2,0
495,1,0
494,2,-1
494,1,0
494,2,0
494,1,0
494,2,0
494,1,0
493,2,-1
493,1,0
493,2,0
493,1,0
493,2,0
493,1,0
493,2,0
493,1,0
493,2,0
493,1,0
493,2,0
493,1,0
493,2,0
493,1,0
492,2,-1
492,1,0
492,2,0
492,1,0
491,2,-1
491,1,0
491,2,0
491,1,0
491,2,0
491,1,0
491,2,0
490,1,-1
490,2,0
490,1,0
490,2,0
489,1,-1
489,2,0
489,1,0
489,2,0
489,1,0
488,2,-1
489,1,1
488,2,-1
488,1,0
488,2,0
488,1,0
488,2,0
487,1,-1
488,2,1
487,1,-1
487,2,0
488,1,1
487,2,-1
487,1,0
487,2,0
487,1,0
487,2,0
487,1,0
487,2,0
487,1,0
486,2,-1
486,1,0
486,2,0
486,1,0
486,2,0
486,1,0
485,2,-1
485,1,0
485,2,0
485,1,0
485,2,0
485,1,0
485,2,0
484,1,-1
484,2,0
485,1,1
484,2,-1
484,1,0
484,2,0
484,1,0
484,2,0
484,1,0
482,2,-2
482,1,0
482,2,0
482,1,0
483,2,1
481,1,-2
481,2,0
481,1,0
481,2,0
481,1,0
480,2,-1
480,1,0
480,2,0
479,1,-1
480,2,1
479,1,-1
479,2,0
479,1,0
479,2,0
479,1,0
479,2,0
478,1,-1
479,2,1
478,1,-1
478,2,0
478,1,0
477,2,-1
477,1,0
477,2,0
477,1,0
477,2,0
477,1,0
476,2,-1
476,1,0
476,2,0
476,1,0
475,2,-1
475,1,0
475,2,0
475,1,0
474,2,-1
474,1,0
474,2,0
474,1,0
474,2,0
474,1,0
473,2,-1
473,1,0
473,2,0
473,1,0
473,2,0
472,1,-1
472,2,0
472,1,0
472,2,0
471,1,-1
472,2,1
471,1,-1
471,2,0
471,1,0
471,2,0
471,1,0
471,2,0
470,1,-1
470,2,0
470,1,0
470,2,0
469,1,-1
469,2,0
469,1,0
469,2,0
469,1,0
469,2,0
469,1,0
468,2,-1
468,1,0
468,2,0
468,1,0
467,2,-1
468,1,1
467,2,-1
466,1,-1
467,2,1
466,1,-1
467,2,1
466,1,-1
465,2,-1
464,1,-1
464,2,0
465,1,1
464,2,-1
463,1,-1
463,2,0
463,1,0
463,2,0
464,1,1
462,2,-2
462,1,0
462,2,0
462,1,0
462,2,0
462,1,0
461,2,-1
461,1,0
461,2,0
461,1,0
461,2,0
461,1,0
461,2,0
460,1,-1
460,2,0
460,1,0
460,2,0
460,1,0
460,2,0
459,1,-1
459,2,0
458,1,-1
460,2,2
458,1,-2
458,2,0
458,1,0
458,2,0
458,1,0
457,2,-1
457,1,0
456,2,-1
456,1,0
457,2,1
456,1,-1
456,2,0
456,1,0
455,2,-1
458,1,3
455,2,-3
455,1,0
455,2,0
455,1,0
455,2,0
455,1,0
454,2,-1
455,1,1
454,2,-1
454,1,0
454,2,0
454,1,0
453,2,-1
453,1,0
453,2,0
453,1,0
453,2,0
453,1,0
453,2,0
452,1,-1
452,2,0
452,1,0
452,2,0
452,1,0
451,2,-1
451,1,0
452,2,1
450,1,-2
451,2,1
451,1,0
450,2,-1
450,1,0
450,2,0
449,1,-1
449,2,0
448,1,-1
448,2,0
447,1,-1
447,2,0
449,1,2
447,2,-2
447,1,0
447,2,0
447,1,0
447,2,0
447,1,0
446,2,-1
447,1,1
446,2,-1
446,1,0
446,2,0
446,1,0
446,2,0
445,1,-1
445,2,0
445,1,0
445,2,0
445,1,0
445,2,0
445,1,0
444,2,-1
445,1,1
444,2,-1
444,1,0
444,2,0
444,1,0
444,2,0
444,1,0
444,2,0
444,1,0
443,2,-1
444,1,1
444,2,0
443,1,-1
444,2,1
444,1,0
444,2,0
443,1,-1
443,2,0
443,1,0
444,2,1
443,1,-1
443,2,0
442,1,-1
442,2,0
442,1,0
442,2,0
442,1,0
442,2,0
441,1,-1
444,2,3
443,1,-1
440,2,-3
442,1,2
442,2,0
440,1,-2
441,2,1
441,1,0
441,2,0
441,1,0
440,2,-1
440,1,0
440,2,0
441,1,1
441,2,0
440,1,-1
440,2,0
440,1,0
439,2,-1
440,1,1
439,2,-1
440,1,1
440,2,0
440,1,0
439,2,-1
439,1,0
439,2,0
439,1,0
439,2,0
439,1,0
438,2,-1
438,1,0
438,2,0
438,1,0
438,2,0
438,1,0
438,2,0
438,1,0
437,2,-1
437,1,0
436,2,-1
438,1,2
437,2,-1
437,1,0
437,2,0
436,1,-1
436,2,0
436,1,0
436,2,0
436,1,0
435,2,-1
435,1,0
435,2,0
434,1,-1
434,2,0
434,1,0
433,2,-1
432,1,-1
432,2,0
432,1,0
432,2,0
432,1,0
431,2,-1
431,1,0
431,2,0
431,1,0
430,2,-1
430,1,0
429,2,-1
429,1,0
429,2,0
428,1,-1
428,2,0
427,1,-1
426,2,-1
425,1,-1
424,2,-1
424,1,0
423,2,-1
423,1,0
422,2,-1
422,1,0
421,2,-1
421,1,0
420,2,-1
418,1,-2
417,2,-1
416,1,-1
414,2,-2
413,1,-1
412,2,-1
411,1,-1
410,2,-1
408,1,-2
408,2,0
406,1,-2
405,2,-1
404,1,-1
402,2,-2
400,1,-2
399,2,-1
397,1,-2
396,2,-1
393,1,-3
391,2,-2
390,1,-1
388,2,-2
386,1,-2
383,2,-3
382,1,-1
380,2,-2
378,1,-2
377,2,-1
374,1,-3
372,2,-2
370,1,-2
368,2,-2
367,1,-1
366,2,-1
363,1,-3
361,2,-2
359,1,-2
358,2,-1
356,1,-2
354,2,-2
352,1,-2
351,2,-1
349,1,-2
348,2,-1
346,1,-2
345,2,-1
343,1,-2
342,2,-1
341,1,-1
340,2,-1
337,1,-3
337,2,0
334,1,-3
333,2,-1
332,1,-1
330,2,-2
328,1,-2
327,2,-1
326,1,-1
325,2,-1
324,1,-1
324,2,0
321,1,-3
321,2,0
318,1,-3
318,2,0
317,1,-1
316,2,-1
314,1,-2
313,2,-1
312,1,-1
311,2,-1
311,1,0
310,2,-1
309,1,-1
308,2,-1
308,1,0
306,2,-2
306,1,0
305,2,-1
305,1,0
303,2,-2
304,1,1
303,2,-1
303,1,0
302,2,-1
302,1,0
301,2,-1
300,1,-1
301,2,1
300,1,-1
300,2,0
300,1,0
299,2,-1
298,1,-1
298,2,0
298,1,0
297,2,-1
296,1,-1
296,2,0
295,1,-1
295,2,0
294,1,-1
294,2,0
295,1,1
294,2,-1
293,1,-1
294,2,1
294,1,0
293,2,-1
294,1,1
293,2,-1
293,1,0
293,2,0
293,1,0
293,2,0
293,1,0
293,2,0
292,1,-1
293,2,1
292,1,-1
292,2,0
292,1,0
292,2,0
292,1,0
292,2,0
292,1,0
292,2,0
292,1,0
292,2,0
292,1,0
292,2,0
292,1,0
292,2,0
292,1,0
291,2,-1
292,1,1
291,2,-1
292,1,1
291,2,-1
291,1,0
291,2,0
291,1,0
291,2,0
291,1,0
290,2,-1
290,1,0
290,2,0
290,1,0
290,2,0
290,1,0
289,2,-1
290,1,1
290,2,0
289,1,-1
289,2,0
289,1,0
289,2,0
289,1,0
288,2,-1
289,1,1
289,2,0
288,1,-1
289,2,1
287,1,-2
289,2,2
288,1,-1
287,2,-1
288,1,1
287,2,-1
287,1,0
288,2,1
287,1,-1
287,2,0
287,1,0
286,2,-1
287,1,1
287,2,0
288,1,1
287,2,-1
287,1,0
287,2,0
287,1,0
287,2,0
287,1,0
286,2,-1
287,1,1
286,2,-1
286,1,0
286,2,0
286,1,0
286,2,0
286,1,0
286,2,0
286,1,0
286,2,0
286,1,0
286,2,0
286,1,0
286,2,0
286,1,0
286,2,0
286,1,0
285,2,-1
285,1,0
285,2,0
285,1,0
285,2,0
284,1,-1
285,2,1
285,1,0
285,2,0
285,1,0
285,2,0
285,1,0
284,2,-1
284,1,0
284,2,0
284,1,0
284,2,0
284,1,0
283,2,-1
283,1,0
283,2,0
283,1,0
283,2,0
284,1,1
282,2,-2
283,1,1
283,2,0
283,1,0
283,2,0
282,1,-1
282,2,0
282,1,0
282,2,0
282,1,0
282,2,0
282,1,0
282,2,0
281,1,-1
281,2,0
281,1,0
280,2,-1
281,1,1
280,2,-1
281,1,1
280,2,-1
280,1,0
280,2,0
281,1,1
279,2,-2
279,1,0
279,2,0
279,1,0
279,2,0
278,1,-1
279,2,1
279,1,0
279,2,0
278,1,-1
278,2,0
278,1,0
278,2,0
278,1,0
278,2,0
278,1,0
277,2,-1
277,1,0
277,2,0
277,1,0
277,2,0
277,1,0
277,2,0
277,1,0
276,2,-1
277,1,1
276,2,-1
276,1,0
276,2,0
